Heterogeneity statistic,Data Type,Effect Measure,Distribution form,Type of Intervention,Nature of Outcome,Medical area,Average Sample Size,Mean,SD,Median,2.5% Quantile,97.5% Quantile,Notes,Reference
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs placebo/control,Biological markers (dichotomised),Any,Any,-1.99,1.71,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs placebo/control,Subjective,Any,Any,-2.92,1.71,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs pharmacological,All-cause mortality,Any,Any,-2.92,1.02,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs pharmacological,Obstetric,Any,Any,-2.49,1.5,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs pharmacological,Cause-specific mortality/major morbidity event/composite,Any,Any,-2.68,1.51,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs pharmacological,Resource use/hospital stay/process,Any,Any,-1.31,1.5,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs pharmacological,Surgical/device related success/failure,Any,Any,-1.11,1.5,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs pharmacological,Withdrawals/drop outs,Any,Any,-1.96,1.51,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs pharmacological,Internal/external structure related outcomes,Any,Any,-1.67,1.51,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs pharmacological,General physical health indicators,Any,Any,-1.26,1.25,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs pharmacological,Adverse events,Any,Any,-0.84,1.24,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs pharmacological,Infection/onset of new disease,Any,Any,-1.46,1.24,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs pharmacological,Signs/symptoms reflecting continuation/end of condition,Any,Any,-1.03,1.24,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs pharmacological,Pain,Any,Any,-0.8,1.25,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs pharmacological,Quality of life/functioning,Any,Any,-1.51,1.27,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs pharmacological,Mental health indicators,Any,Any,-1.09,1.27,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs pharmacological,Biological markers (dichotomised),Any,Any,-0.74,1.24,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs pharmacological,Subjective,Any,Any,-1.67,1.25,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs non-pharmacological,All-cause mortality,Any,Any,-3.5,1.26,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs non-pharmacological,Obstetric,Any,Any,-3.08,1.68,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs non-pharmacological,Cause-specific mortality/major morbidity event/composite,Any,Any,-3.27,1.68,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs non-pharmacological,Resource use/hospital stay/process,Any,Any,-1.9,1.68,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs non-pharmacological,Surgical/device related success/failure,Any,Any,-1.69,1.68,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs non-pharmacological,Withdrawals/drop outs,Any,Any,-2.55,1.68,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs non-pharmacological,Internal/external structure related outcomes,Any,Any,-2.26,1.68,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs non-pharmacological,General physical health indicators,Any,Any,-1.85,1.46,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
